cycle_number,cell_number,capacity
3300,Cell7,0.6518482504032085
3400,Cell7,0.6496736361640862
3500,Cell7,0.6474990219249641
3600,Cell7,0.6468315112267523
3700,Cell7,0.645304202881158
3800,Cell7,0.6424368996081984
3900,Cell7,0.6419201636369664
4000,Cell7,0.6402204043260972
4100,Cell7,0.6372624875981344
4200,Cell7,0.636461775519416
4300,Cell7,0.6348833453988139
4400,Cell7,0.6333857813411086
4500,Cell7,0.6305555548837212
4600,Cell7,0.6300056152500645
4700,Cell7,0.6283773128388044
4800,Cell7,0.6267490104275444
4900,Cell7,0.6248976916110857
5000,Cell7,0.6230463727946269
5100,Cell7,0.6219010570358343
5200,Cell7,0.6188233159558885
5300,Cell7,0.618954853098738
5400,Cell7,0.6175276695204671
5500,Cell7,0.6142925687191706
5600,Cell7,0.6145690801391297
5700,Cell7,0.6131146593468562
5800,Cell7,0.6113462823719076
5900,Cell7,0.6100332969423896
6000,Cell7,0.6088085860090602
6100,Cell7,0.6060533887321607
6200,Cell7,0.6059034227150879
6300,Cell7,0.6046515080966797
6400,Cell7,0.6018397427911003
6500,Cell7,0.6020161384365811
6600,Cell7,0.6007270194675836
6700,Cell7,0.598757537892171
6800,Cell7,0.5990486078144939
6900,Cell7,0.597851621443797
7000,Cell7,0.5949915726020949
7100,Cell7,0.5971592893788655
7200,Cell7,0.5939663081994765
7300,Cell7,0.592768780769216
7400,Cell7,0.5906981891224569
7500,Cell7,0.5899650195246209
7600,Cell7,0.5886221542203064
7700,Cell7,0.5865107416551988
7800,Cell7,0.5860648501349623
7900,Cell7,0.5849615834635077
8000,Cell7,0.5828396748034192
8100,Cell7,0.5828069570864598
0,Cell8,0.7275279508776245
100,Cell8,0.7200435691727091
200,Cell8,0.7167402184077114
300,Cell8,0.7134368676427136
400,Cell8,0.7095431372565274
500,Cell8,0.7066031208953756
600,Cell8,0.7039271830937772
700,Cell8,0.7028268331586339
800,Cell8,0.6996604835476685
900,Cell8,0.6975051870107625
1000,Cell8,0.6954463583529561
1100,Cell8,0.6933844109134182
1200,Cell8,0.6913525594293859
1300,Cell8,0.6893511783582152
1400,Cell8,0.6874919010955945
1500,Cell8,0.6855923257740733
1600,Cell8,0.6836927504525518
1700,Cell8,0.6817705472144114
1800,Cell8,0.679848343976271
1900,Cell8,0.677445316785953
2000,Cell8,0.6752706367701213
2100,Cell8,0.6737840156124403
2200,Cell8,0.6711616689531791
2300,Cell8,0.6697381704212172
2400,Cell8,0.6663400254420031
2500,Cell8,0.6644188097638958
2600,Cell8,0.6606598131242201
2700,Cell8,0.6592901306798705
2800,Cell8,0.6567032675046591
2900,Cell8,0.6526045603641832
3000,Cell8,0.6515216355353732
3100,Cell8,0.6492333106060079
3200,Cell8,0.6457033994370321
3300,Cell8,0.6446697350407342
3400,Cell8,0.6419014624151628
3500,Cell8,0.6391331897895913
3600,Cell8,0.6384180527239549
3700,Cell8,0.6361130349142321
3800,Cell8,0.632034306934133
3900,Cell8,0.6313156809755113
4000,Cell8,0.6291404956210294
4100,Cell8,0.6254674043331941
4200,Cell8,0.624585982483317
4300,Cell8,0.6226337554192608
4400,Cell8,0.6204760864495749
4500,Cell8,0.6169983768202243
4600,Cell8,0.6163392972988486
4700,Cell8,0.6143062855524022
4800,Cell8,0.6122732738059556
4900,Cell8,0.6097997728432125
5000,Cell8,0.6073262718804695
5100,Cell8,0.6059417256364679
5200,Cell8,0.6018903820841234
5300,Cell8,0.601934788576745
5400,Cell8,0.6000077753818733
5500,Cell8,0.5963490335138482
5600,Cell8,0.5962266060789286
5700,Cell8,0.594340960205607
5800,Cell8,0.5920146001761711
5900,Cell8,0.5904843031513403
6000,Cell8,0.5885823764392428
6100,Cell8,0.5852882372464059
6200,Cell8,0.5851320387309231
6300,Cell8,0.5832241106854588
6400,Cell8,0.5798709863302748
6500,Cell8,0.5803408685542026
6600,Cell8,0.5785533542486776
6700,Cell8,0.5780345206396924
6800,Cell8,0.5777142932865601
6900,Cell8,0.5764201292408753
7000,Cell8,0.5730210856189168
7100,Cell8,0.5746346477946778
7200,Cell8,0.5714523631333855
7300,Cell8,0.5698082029910109
7400,Cell8,0.5675662622753906
7500,Cell8,0.566657307630317
7600,Cell8,0.5653637467862752
7700,Cell8,0.5629671093293154
7800,Cell8,0.5626004974372796
7900,Cell8,0.5611111478911844
8000,Cell8,0.5581610835707194
8100,Cell8,0.5589581404180535
